paper_id,title,authors,venue,year,pdf_path,pdf_url,topics
2605.21318v1,TextReg: Mitigating Prompt Distributional Overfitting via Regularized Text-Space Optimization,Lucheng Fu; Ye Yu; Yiyang Wang; Yiqiao Jin; Haibo Jin; B. Aditya Prakash; Haohan Wang,Code: https://github.com/luchengfu6/TextReg,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21318v1_TextReg Mitigating Prompt Distributional Overfitti.pdf,https://arxiv.org/pdf/2605.21318v1,cs.CL; cs.AI; cs.LG
2605.21333v1,SymbolicLight V1: Spike-Gated Dual-Path Language Modeling with High Activation Sparsity and Sub-Billion-Scale Pre-Training Evidence,Ting Liu,"35 pages, 5 figures, 25 tables; public code and model artifacts linked in manuscript",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21333v1_SymbolicLight V1 Spike-Gated Dual-Path Language Mo.pdf,https://arxiv.org/pdf/2605.21333v1,cs.CL; cs.AI
2605.21347v1,Insights Generator: Systematic Corpus-Level Trace Diagnostics for LLM Agents,Akshay Manglik; Apaar Shanker; Kaustubh Deshpande; Jason Qin; Yash Maurya; Veronica Chatrath; Vijay S. Kalmath; Levi Lentz;  Yuan;  Xue,Under review,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21347v1_Insights Generator Systematic Corpus-Level Trace D.pdf,https://arxiv.org/pdf/2605.21347v1,cs.AI; cs.LG; cs.SE
2605.21348v1,Data-Efficient Neural Operator Training via Physics-Based Active Learning,Alicja Polanska; Lorenzo Zanisi; Vignesh Gopakumar; Stanislas Pamela,Presented at the ICLR 2026 Workshop on Artificial Intelligence and Partial Differential Equations,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21348v1_Data-Efficient Neural Operator Training via Physic.pdf,https://arxiv.org/pdf/2605.21348v1,cs.LG; cs.AI; math.NA; physics.comp-ph
2605.21372v1,Closed Loop Dynamic Driving Data Mixture for Real-Synthetic Co-Training,Hongzhi Ruan; Pei Liu; Weiliang Ma; Zhengning Li; Xueyang Zhang; Jun Ma; Dan Xu; Kun Zhan,cs.CV,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21372v1_Closed Loop Dynamic Driving Data Mixture for Real-.pdf,https://arxiv.org/pdf/2605.21372v1,cs.CV; cs.AI; cs.LG; cs.RO
2605.21379v1,How to Build Marcus's Algebraic Mind: Algebro-Deterministic Substrate over Galois Fields,Hiroyuki Chuma; Kanji Otsuk; Yoichi Sato,cs.NE,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21379v1_How to Build Marcuss Algebraic Mind Algebro-Determ.pdf,https://arxiv.org/pdf/2605.21379v1,cs.NE; cs.AI
2605.21384v1,SpecBench: Measuring Reward Hacking in Long-Horizon Coding Agents,Bingchen Zhao; Dhruv Srikanth; Yuxiang Wu; Zhengyao Jiang,cs.SE,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21384v1_SpecBench Measuring Reward Hacking in Long-Horizon.pdf,https://arxiv.org/pdf/2605.21384v1,cs.SE; cs.AI; cs.CL
2605.21388v1,On the Regularity and Generalization of One-Step Wasserstein-guided Generative Models for PDE-Induced Measures,Likun Lin; Zhongjian Wang; Jack Xin; Zhiwen Zhang,cs.LG,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21388v1_On the Regularity and Generalization of One-Step W.pdf,https://arxiv.org/pdf/2605.21388v1,cs.LG; cs.AI; math.NA; stat.ML
2605.21390v1,Designing Conversations with the Dead: How People Engage with Generative Ghosts,Jack Manning; Daniel Sullivan; Dylan Thomas Doyle; Anthony T. Pinter; Jed R. Brubaker,cs.HC,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21390v1_Designing Conversations with the Dead How People E.pdf,https://arxiv.org/pdf/2605.21390v1,cs.HC; cs.AI
2605.21395v1,Towards Resilient and Autonomous Networks: A BlueSky Vision on AI-Native 6G,Liang Wu; Kelly Wan; Mayank Darbari; Liangjie Hong,Accepted at KDD 2026,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21395v1_Towards Resilient and Autonomous Networks A BlueSk.pdf,https://arxiv.org/pdf/2605.21395v1,cs.AI; cs.LG
2605.21401v1,Open-source LLMs administer maximum electric shocks in a Milgram-like obedience experiment,Roland Pihlakas; Jan Llenzl Dagohoy,"28 pages, 16 figures, 16 tables",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21401v1_Open-source LLMs administer maximum electric shock.pdf,https://arxiv.org/pdf/2605.21401v1,cs.CY; cs.AI
2605.21405v1,Stdlib or Third-Party? Empirical Performance and Correctness of LLM-Assisted Zero-Dependency Python Libraries,Peng Ding; Rick Stevens,12 pages,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21405v1_Stdlib or Third-Party Empirical Performance and Co.pdf,https://arxiv.org/pdf/2605.21405v1,cs.SE; cs.AI; cs.PL
2605.21413v1,Teaching AI Through Benchmark Construction: QuestBench as a Course-Based Practice for Accountable Knowledge Work,Haiyang Shen; Jiuzheng Wang; Taian Guo; Mugeng Liu; Wenchun Jing; Chongyang Pan; Siqi Zhong; Zhiyang Chen; Weichen Bi; Yudong Han; Xiaoying Bai; Yun Ma,"24 pages, 5 figures, 4 tables",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21413v1_Teaching AI Through Benchmark Construction QuestBe.pdf,https://arxiv.org/pdf/2605.21413v1,cs.AI
2605.21417v1,Ordering Matters: Rank-Aware Selective Fusion for Blended Emotion Recognition,Junghyun Lee; Hyunseo Kim; Hanna Jang; Junhyug Noh,"Accepted at IEEE FG 2026. Final system ranked 2nd in the BlEmoRE Challenge. 9 pages including appendix, 8 figures",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21417v1_Ordering Matters Rank-Aware Selective Fusion for B.pdf,https://arxiv.org/pdf/2605.21417v1,cs.CV; cs.AI
2605.21418v1,FedCritic: Serverless Federated Critic Learning-based Resource Allocation for Multi-Cell OFDMA in 6G,Amin Farajzadeh; Melike Erol-Kantarci,Submitted to IEEE for possible publication,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21418v1_FedCritic Serverless Federated Critic Learning-bas.pdf,https://arxiv.org/pdf/2605.21418v1,cs.LG; cs.AI; cs.CV; cs.NI
2605.21420v1,HiRes: Inspectable Precedent Memory for Reaction Condition Recommendation,Shreyas Vinaya Sathyanarayana; Raja Sekhar Pappala; Deepak Warrier,cs.LG,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21420v1_HiRes Inspectable Precedent Memory for Reaction Co.pdf,https://arxiv.org/pdf/2605.21420v1,cs.LG; cs.AI; q-bio.MN
2605.21427v1,PALS: Power-Aware LLM Serving for Mixture-of-Experts Models,Can Hankendi; Rana Shahout; Minlan Yu; Ayse K. Coskun,"13 pages, 10 figures",2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21427v1_PALS Power-Aware LLM Serving for Mixture-of-Expert.pdf,https://arxiv.org/pdf/2605.21427v1,cs.AI; cs.DC
2605.21442v1,torchtune: PyTorch native post-training library,Mark Obozov; Maxime Griot; Joseph Cummings; Evan Smothers; Felipe Mello; Rafi Ayub; Philip John Bontrager; Salman Mohammadi; Ariel Kwiatkowski; Nathan Azrak; Mircea Mironenco,14 pages,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21442v1_torchtune PyTorch native post-training library.pdf,https://arxiv.org/pdf/2605.21442v1,cs.LG; cs.AI
2605.21443v1,TempGlitch: Evaluating Vision-Language Models for Temporal Glitch Detection in Gameplay Videos,Yakun Yu; Ashley Wiens; Adrián Barahona-Ríos; Benedict Wilkins; Saman Zadtootaghaj; Nabajeet Barman; Cor-Paul Bezemer,cs.CV,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21443v1_TempGlitch Evaluating Vision-Language Models for T.pdf,https://arxiv.org/pdf/2605.21443v1,cs.CV; cs.AI
2605.21446v1,Lost in Fog: Sensor Perturbations Expose Reasoning Fragility in Driving VLAs,Abhinaw Priyadershi; Jelena Frtunikj,cs.RO,2026,C:\Users\livex\Desktop\Uni\PDF_agent\arxiv_cs_ai_pdfs\2605.21446v1_Lost in Fog Sensor Perturbations Expose Reasoning .pdf,https://arxiv.org/pdf/2605.21446v1,cs.RO; cs.AI
